date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,industry,sector,market_cap,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Interest Income,Interest Expense,Interest Income,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Average Dilution Earnings,Earnings From Equity Interest,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Total Other Finance Cost,Rent Expense Supplemental,Otherunder Preferred Stock Dividend,Minority Interests,Restructuring And Mergern Acquisition,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Net Income Discontinuous Operations,Other Special Charges,Salaries And Wages,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Preferred Stock Dividends,Insurance And Claims,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Impairment Of Capital Assets,Gain On Sale Of Business,Gain On Sale Of Ppe,Amortization,Amortization Of Intangibles Income Statement
2026-03-31,0.0,0.175,39324000000.0,29578000000.0,3439000000.0,56403000000.0,39324000000.0,35885000000.0,29578000000.0,29578000000.0,75299000000.0,35885000000.0,14725873000.0,14673278000.0,2.01,2.02,29578000000.0,29578000000.0,29578000000.0,29578000000.0,29578000000.0,6255000000.0,35833000000.0,-52000000.0,-52000000.0,35885000000.0,18896000000.0,11419000000.0,7477000000.0,54781000000.0,56403000000.0,111184000000.0,111184000000.0,AAPL,Consumer Electronics,Technology,4725069053952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,0.0,0.175,54066000000.0,42097000000.0,3214000000.0,74525000000.0,54066000000.0,50852000000.0,42097000000.0,42097000000.0,92904000000.0,50852000000.0,14810356000.0,14748158000.0,2.84,2.85,42097000000.0,42097000000.0,42097000000.0,42097000000.0,42097000000.0,8905000000.0,51002000000.0,150000000.0,150000000.0,50852000000.0,18379000000.0,10887000000.0,7492000000.0,69231000000.0,74525000000.0,143756000000.0,143756000000.0,AAPL,Consumer Electronics,Technology,4725069053952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,0.0,0.162724,35554000000.0,27466000000.0,3127000000.0,54125000000.0,35554000000.0,32427000000.0,27466000000.0,27466000000.0,70039000000.0,32427000000.0,14863609000.0,14815307000.0,1.85,1.85,27466000000.0,27466000000.0,27466000000.0,27466000000.0,27466000000.0,5338000000.0,32804000000.0,377000000.0,377000000.0,32427000000.0,15914000000.0,8866000000.0,7048000000.0,48341000000.0,54125000000.0,102466000000.0,102466000000.0,AAPL,Consumer Electronics,Technology,4725069053952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.164,31032000000.0,23434000000.0,2830000000.0,50318000000.0,31032000000.0,28202000000.0,23434000000.0,23434000000.0,65834000000.0,28202000000.0,14948179000.0,14902886000.0,1.57,1.57,23434000000.0,23434000000.0,23434000000.0,23434000000.0,23434000000.0,4597000000.0,28031000000.0,-171000000.0,-171000000.0,28202000000.0,15516000000.0,8866000000.0,6650000000.0,43718000000.0,50318000000.0,94036000000.0,94036000000.0,AAPL,Consumer Electronics,Technology,4725069053952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,0.0,0.154555,32250000000.0,24780000000.0,2661000000.0,50492000000.0,32250000000.0,29589000000.0,24780000000.0,24780000000.0,65770000000.0,29589000000.0,15056133000.0,14994082000.0,1.65,1.65,24780000000.0,24780000000.0,24780000000.0,24780000000.0,24780000000.0,4530000000.0,29310000000.0,-279000000.0,-279000000.0,29589000000.0,15278000000.0,8550000000.0,6728000000.0,44867000000.0,50492000000.0,95359000000.0,95359000000.0,AAPL,Consumer Electronics,Technology,4725069053952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,281390000.0,0.19,48804000000.0,31778000000.0,10167000000.0,26828000000.0,50285000000.0,40118000000.0,30578390000.0,31778000000.0,44488000000.0,38398000000.0,7445000000.0,7426000000.0,4.27,4.28,31778000000.0,31778000000.0,31778000000.0,31778000000.0,31778000000.0,7562000000.0,39340000000.0,990000000.0,-491000000.0,38398000000.0,17660000000.0,8915000000.0,8745000000.0,56058000000.0,26828000000.0,82886000000.0,82886000000.0,MSFT,Software - Infrastructure,Technology,2824142323712.0,1481000000.0,1481000000.0,-48000000.0,778000000.0,730000000.0,-37000000.0,37000000.0,1518000000.0,-48000000.0,778000000.0,730000000.0,6814000000.0,1931000000.0,1931000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,65200000.0,0.2,57854000000.0,38458000000.0,9198000000.0,25978000000.0,58180000000.0,48982000000.0,38197200000.0,38458000000.0,42998000000.0,38275000000.0,7460000000.0,7431000000.0,5.16,5.18,38458000000.0,38458000000.0,38458000000.0,38458000000.0,38458000000.0,9788000000.0,48246000000.0,9867000000.0,9541000000.0,38275000000.0,17020000000.0,8504000000.0,8516000000.0,55295000000.0,25978000000.0,81273000000.0,81273000000.0,MSFT,Software - Infrastructure,Technology,2824142323712.0,326000000.0,326000000.0,104000000.0,736000000.0,840000000.0,-59000000.0,59000000.0,385000000.0,104000000.0,736000000.0,840000000.0,6584000000.0,1932000000.0,1932000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,187150000.0,0.19,47075000000.0,27747000000.0,13061000000.0,24043000000.0,48060000000.0,34999000000.0,26949150000.0,27747000000.0,39712000000.0,37961000000.0,7466000000.0,7433000000.0,3.72,3.73,27747000000.0,27747000000.0,27747000000.0,27747000000.0,27747000000.0,6554000000.0,34301000000.0,-3938000000.0,-4923000000.0,37961000000.0,15669000000.0,8146000000.0,7523000000.0,53630000000.0,24043000000.0,77673000000.0,77673000000.0,MSFT,Software - Infrastructure,Technology,2824142323712.0,985000000.0,985000000.0,278000000.0,698000000.0,976000000.0,-14000000.0,14000000.0,999000000.0,278000000.0,698000000.0,976000000.0,5717000000.0,1806000000.0,1806000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,495125.091979,0.165042,44431000000.0,27233000000.0,11203000000.0,24014000000.0,44434000000.0,33231000000.0,27230495125.09198,27233000000.0,42118000000.0,34323000000.0,7461000000.0,7432000000.0,3.65,3.66,27233000000.0,27233000000.0,27233000000.0,27233000000.0,27233000000.0,5383000000.0,32616000000.0,-1861000000.0,-1864000000.0,34323000000.0,18104000000.0,8829000000.0,9275000000.0,52427000000.0,24014000000.0,76441000000.0,76441000000.0,MSFT,Software - Infrastructure,Technology,2824142323712.0,3000000.0,3000000.0,154000000.0,615000000.0,769000000.0,-45000000.0,45000000.0,48000000.0,154000000.0,615000000.0,769000000.0,7285000000.0,1990000000.0,1990000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,69660000.0,0.18,39318000000.0,25824000000.0,7734000000.0,21919000000.0,39705000000.0,31971000000.0,25506660000.0,25824000000.0,38066000000.0,32000000000.0,7461000000.0,7434000000.0,3.46,3.47,25824000000.0,25824000000.0,25824000000.0,25824000000.0,25824000000.0,5553000000.0,31377000000.0,-626000000.0,-1013000000.0,32000000000.0,16147000000.0,8198000000.0,7949000000.0,48147000000.0,21919000000.0,70066000000.0,70066000000.0,MSFT,Software - Infrastructure,Technology,2824142323712.0,387000000.0,387000000.0,3000000.0,594000000.0,597000000.0,-24000000.0,24000000.0,411000000.0,3000000.0,594000000.0,597000000.0,6212000000.0,1737000000.0,1737000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
